                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89276,                 0.8626,                0.99922,                  0.326,              0.0033316,              0.0033316,              0.0033316
                      2,                0.41266,                0.87052,                0.99922,                 0.3145,               0.006599,               0.006599,               0.006599
                      3,                0.38878,                0.84455,                0.99766,                 0.3305,              0.0098003,              0.0098003,              0.0098003
                      4,                0.35972,                0.86571,                0.99857,                 0.3076,               0.009703,               0.009703,               0.009703
                      5,                0.30712,                0.87584,                0.99974,                 0.2994,               0.009604,               0.009604,               0.009604
                      6,                0.26954,                0.88987,                0.99987,                 0.2869,               0.009505,               0.009505,               0.009505
                      7,                0.25004,                0.90519,                0.99974,                 0.2746,               0.009406,               0.009406,               0.009406
                      8,                0.23446,                0.90013,                0.99987,                 0.2744,               0.009307,               0.009307,               0.009307
                      9,                0.22231,                0.90883,                0.99922,                 0.2685,               0.009208,               0.009208,               0.009208
                     10,                0.21125,                0.91208,                0.99961,                 0.2621,               0.009109,               0.009109,               0.009109
                     11,                0.20768,                0.92078,                0.99987,                 0.2571,                0.00901,                0.00901,                0.00901
                     12,                0.20086,                0.92091,                0.99961,                 0.2552,               0.008911,               0.008911,               0.008911
                     13,                0.18977,                0.92727,                0.99948,                 0.2474,               0.008812,               0.008812,               0.008812
                     14,                0.19024,                0.91935,                0.99974,                 0.2551,               0.008713,               0.008713,               0.008713
                     15,                0.18731,                0.92026,                0.99974,                 0.2517,               0.008614,               0.008614,               0.008614
                     16,                0.17531,                0.92597,                      1,                 0.2444,               0.008515,               0.008515,               0.008515
                     17,                0.18172,                0.93623,                0.99987,                 0.2383,               0.008416,               0.008416,               0.008416
                     18,                0.17319,                0.93299,                      1,                 0.2404,               0.008317,               0.008317,               0.008317
                     19,                0.17105,                0.93091,                0.99987,                  0.241,               0.008218,               0.008218,               0.008218
                     20,                0.16523,                0.93182,                      1,                   0.24,               0.008119,               0.008119,               0.008119
                     21,                0.16723,                0.93377,                0.99974,                 0.2395,                0.00802,                0.00802,                0.00802
                     22,                0.15999,                0.93688,                0.99987,                 0.2349,               0.007921,               0.007921,               0.007921
                     23,                0.16591,                0.93545,                      1,                 0.2366,               0.007822,               0.007822,               0.007822
                     24,                0.15902,                0.93234,                      1,                 0.2369,               0.007723,               0.007723,               0.007723
                     25,                0.15872,                0.93636,                      1,                 0.2356,               0.007624,               0.007624,               0.007624
                     26,                0.15646,                0.93792,                      1,                 0.2327,               0.007525,               0.007525,               0.007525
                     27,                 0.1531,                0.93636,                0.99987,                 0.2335,               0.007426,               0.007426,               0.007426
                     28,                 0.1513,                0.93519,                0.99987,                  0.233,               0.007327,               0.007327,               0.007327
                     29,                 0.1484,                0.93558,                0.99987,                 0.2326,               0.007228,               0.007228,               0.007228
                     30,                0.15201,                0.93558,                      1,                 0.2319,               0.007129,               0.007129,               0.007129
                     31,                0.14023,                0.93636,                0.99987,                 0.2318,                0.00703,                0.00703,                0.00703
                     32,                 0.1444,                0.93649,                0.99987,                 0.2318,               0.006931,               0.006931,               0.006931
                     33,                0.13854,                0.93584,                0.99987,                 0.2314,               0.006832,               0.006832,               0.006832
                     34,                0.13833,                0.93675,                0.99987,                 0.2308,               0.006733,               0.006733,               0.006733
                     35,                0.13723,                0.93701,                0.99987,                 0.2303,               0.006634,               0.006634,               0.006634
                     36,                0.13644,                0.93649,                0.99987,                 0.2309,               0.006535,               0.006535,               0.006535
                     37,                0.13914,                0.93753,                0.99974,                 0.2309,               0.006436,               0.006436,               0.006436
                     38,                0.13177,                0.93662,                0.99974,                 0.2311,               0.006337,               0.006337,               0.006337
                     39,                0.12799,                0.93688,                0.99974,                 0.2311,               0.006238,               0.006238,               0.006238
                     40,                0.13074,                0.93649,                0.99974,                 0.2312,               0.006139,               0.006139,               0.006139
                     41,                0.12714,                0.93662,                0.99974,                 0.2311,                0.00604,                0.00604,                0.00604
